209,허영만의 주식 타짜 : 단타의 고수 한봉호·설산,허영만,15120,가디언
210,업계지도 (AI가 바꾼 산업의 투자 지형도),한국비즈니스정보,25200,어바웃어북
211,채권을 알면 주식이 보인다 (채권쟁이의 주식 투자법),신년기,18000,아라크네
212,주식 투자 뉴메릭 이론 #30 Energy Balance,손태건,16000,부크크(bookk)
213,외워서 바로 써먹는 단타 공식 (투자 수익 올려줄 지금 당장 사용 가능한 실전 테크닉),이창원,17100,매일경제신문사
214,버팀에서 원칙으로 (암호화폐 폭락장에서 버팀이 만든 투자 철학),김환일,16200,좋은땅
215,주식 매매 전략 (캔들 패턴 속 숨은 메시지를 읽는 기술),엄승민,56900,부크크(bookk)
216,나만의 미국주식 투자 필살기,김영종,25200,원앤원북스
217,유목민의 투자의 정석,유목민,25200,리더스북
218,주식 투자 뉴메릭 이론 #28 파이(Φ) projection,손태건,16000,부크크(bookk)
219,주식이 오르고 내리는 이유 (모든 투자자들에게 필요한 투자의 기본 지식들),빌 파이크^패트릭 그레고리,35100,비지니스101
220,"K-증시혁명 (한국증시, 2025년 이전과 이후로 나뉜다)",강관우,18900,뿌브아르
221,주식 투자 뉴메릭 이론 #27 Time Energy Resist,손태건,16000,부크크(bookk)
222,성공적인 개인 투자를 위한 ETF 안내서,안해성,17820,지음미디어
223,최저점 바닥 매매 비법(큰글자도서) (초보자 및 직장인을 위한 비법 공개),전원,35100,시대인
224,진짜 하루만에 이해하는 제약·바이오 산업 (강하나 전 애널리스트가 알려주는 제약·바이오 투자의 정석),강하나,22320,티더블유아이지
225,주식 투자 뉴메릭 이론 #26. Time Energy Support,손태건,16000,부크크(bookk)
226,ETF로 부사관 역량 강화,황대건,17100,드림벙커
227,주식 투자 뉴메릭 이론 #25 Time Energy Drop,손태건,16000,부크크(bookk)
228,배당투자 기적의 루틴 (지금 배당투자 50만 원으로 평생 월급 500만 원을 만드는),곽병열,19800,한스미디어
229,주식 투자 뉴메릭 이론 #23. √7=2.646,손태건,16000,부크크(bookk)
230,1년에 1천만 원 수익 내는 주식 투자 기술 (작고 소중한 월급을 모으고 불리는 기적의 솔루션),인디플랜(안형준),18000,원앤원북스
231,주식 투자 뉴메릭 이론 #24 Time Energy Rally,손태건(타이쿤),16000,부크크(bookk)
232,처음부터 배우는 투자 심리학 (일 잘하는 사람들의 비밀 노트 08),백광석,15300,다온길
233,주린이의 주식 심리 생존 전략,윤창섭,19300,부크크(bookk)
234,주식 투자 뉴메릭 이론 #22 √5=2.236,손태건,16000,부크크(bookk)
235,ETF 투자 무작정 따라하기 (손쉽게 투자해서 확실히 수익 내는 ETF의 모든 것),윤재수,19800,길벗
236,투자의 시간 (현명한 투자자가 되기 위한),권오상,18000,지베르니
